순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS
14,김태훈,삼성,4.48,73,2,6,2,19,0.250,66 1/3,66,8,26,2,74,34,33,1.39,0,0,0,5,287,1122,0.259,13,0,1,3,3,4,0,0,0,2,9,29,0,7,51,67,0.76,0.33,15.4,16.9,10.04,3.53,2.85,0.329,0.404,0.733
15,송은범,삼성,4.5,5,0,0,0,0,-,6,9,0,3,0,2,3,3,2.0,0,0,0,0,28,93,0.375,2,0,1,0,0,3,0,0,0,0,3,0,0,3,7,6,1.17,0.409,18.6,15.5,3.0,4.5,0.67,0.444,0.458,0.902
15,홍원표,삼성,4.5,2,0,1,0,0,0.000,2,3,0,2,1,1,1,1,2.5,0,0,0,0,12,40,0.429,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,4,0.0,0.429,20.0,20.0,4.5,9.0,0.50,0.545,0.429,0.974
17,임창민,삼성,4.85,16,1,0,0,2,1.000,13,17,5,7,1,6,8,7,1.85,0,0,0,1,63,263,0.321,2,0,1,1,1,0,0,0,0,1,1,3,0,2,12,19,0.63,0.279,16.4,20.2,4.15,4.85,0.86,0.403,0.642,1.045
18,최원태,삼성,4.92,27,8,7,0,0,0.533,124 1/3,128,13,51,12,109,72,68,1.44,0,0,8,0,552,2137,0.271,21,0,10,7,1,9,0,24,7,1,1,0,0,7,122,120,1.02,0.322,79.1,17.2,7.89,3.69,2.14,0.352,0.398,0.75
19,김재윤,삼성,4.99,63,4,7,13,3,0.364,57 2/3,57,10,13,1,43,34,32,1.21,0,0,0,3,242,938,0.253,12,2,2,1,3,1,0,0,0,4,34,19,2,2,47,79,0.59,0.272,14.9,16.3,6.71,2.03,3.31,0.296,0.458,0.754
20,김대호,삼성,5.14,11,0,1,0,0,0.000,21,25,3,15,1,19,13,12,1.9,0,0,0,0,105,392,0.291,6,0,1,2,0,1,0,4,0,0,5,0,0,2,23,21,1.1,0.333,35.6,18.7,8.14,6.43,1.27,0.394,0.465,0.859
21,육선엽,삼성,5.34,27,0,1,0,1,0.000,28 2/3,23,4,24,0,19,21,17,1.64,0,0,0,0,133,564,0.217,3,0,3,0,0,2,0,1,0,0,8,2,0,3,28,36,0.78,0.229,20.9,19.7,5.97,7.53,0.79,0.362,0.358,0.72
22,이승현,삼성,5.42,25,4,9,0,0,0.308,101 1/3,121,10,46,9,74,64,61,1.65,0,0,2,0,471,1840,0.298,23,2,7,3,0,2,0,23,4,0,0,0,0,7,115,99,1.16,0.342,73.6,18.2,6.57,4.09,1.61,0.379,0.438,0.817
24,이호성,삼성,6.34,58,7,4,9,3,0.636,55 1/3,54,7,29,2,69,44,39,1.5,0,0,0,4,252,1032,0.252,7,2,3,4,0,0,1,0,0,7,24,17,1,5,41,54,0.76,0.331,17.8,18.7,11.22,4.72,2.38,0.341,0.402,0.743
